id,vegetation,sky,building,road,shadow_ratio,sky_brightness,h_mean,h_std,s_mean,s_std,v_mean,v_std,entropy,colorfulness,LST,lat,lon,block_id,poi_density
5103929473,0.024464111328125,0.20081298828125,0.6689239501953125,0.1057989501953124,0.395989990234375,144.31879401408452,61.05622924804688,50.10362875636255,53.56393676757813,42.1112885652091,150.84613525390623,61.97505195025074,7.6384254,36.44319640514266,32.09054255000001,22.3032687,114.171733,4,44
5103929475,0.0193743896484375,0.1764337158203125,0.5818713378906251,0.222320556640625,0.6168408203125,149.31140881748826,68.22897521972656,46.8424027274772,57.304841918945314,48.88419163232852,131.3554150390625,60.49505937420371,7.611338075,30.987914731105924,32.09054255000001,22.3032521,114.1719165,4,43
5103971488,0.061405029296875,0.1793646240234375,0.7045794677734375,0.05465087890625,0.40024658203125,137.1136828785211,46.00768005371094,39.35192165842333,64.41055114746094,40.47902789926273,156.7245294189453,66.23558338809399,7.6542823,32.41177861205824,33.73916753000001,22.3070591,114.1741806,3,8
5104093645,0.05353271484375,0.3118389892578125,0.593375244140625,0.0412530517578125,0.24920166015625,167.72866233861504,54.22248901367188,41.4881528181032,64.84950073242187,39.5840448343814,162.29602478027343,59.910747834012014,7.319053575,29.984987565629275,31.92419891000002,22.3029817,114.1772571,2,6
5104093648,0.087314453125,0.2151739501953125,0.6065423583984375,0.09096923828125,0.4022723388671875,145.59467796361503,51.166982421875005,38.83305914268597,66.25819396972656,51.50396350345412,146.84987854003907,68.0875865524078,7.704670325,34.28473935866998,32.17599305000001,22.3031074,114.1768133,2,3
5104147159,0.0203125,0.07108154296875,0.5137152099609374,0.3948907470703124,0.486693115234375,149.92296618251174,55.078336791992186,38.227741166340834,27.279191894531248,23.25548766309844,138.60355346679688,39.86286987000357,7.1385859,12.55480248178062,28.35122867000003,22.3075809,114.1606472,1,0
5104169313,0.2408831787109375,0.1159185791015625,0.4275421142578124,0.2156561279296875,0.4719158935546875,122.68390735035211,66.44829528808594,32.94945584188498,54.219357910156255,44.198504992459725,128.3284753417969,52.4112698786241,7.5990739,22.402790790575185,30.92328872,22.3048486,114.1675431,1,8
5118471617,0.0370172119140625,0.1789013671875,0.4307086181640625,0.353372802734375,0.66631103515625,156.82123312793428,62.93840942382812,49.56296862227127,35.75061218261719,41.53294489394581,133.41779174804688,59.36289755683694,7.601777175,21.582832389280185,33.45148418000002,22.3068173,114.1661569,1,39
5120436693,0.0300738525390625,0.2389288330078124,0.370521240234375,0.36047607421875,0.5467694091796875,177.09305494424882,66.32530212402344,45.38118151192199,30.22942565917969,33.183970392290995,136.53555725097655,62.54540708482437,7.58056905,14.2040671848658,29.676850760000026,22.298078,114.1790669,2,13
5120436719,0.0405279541015625,0.2803692626953125,0.5703448486328125,0.1087579345703124,0.487589111328125,165.71278242370892,57.34383544921874,41.37045529795954,59.18040710449219,40.32885417707496,165.51076965332032,58.466461099641904,7.502921375,38.161744345368646,28.68391595000004,22.2965485,114.1771494,4,6
5120437766,0.0310473632812499,0.2900726318359375,0.5181042480468749,0.1607757568359375,0.5730969238281249,167.3081004254695,51.82970458984375,43.55523252930894,54.940110473632814,42.53162280062647,163.6344470214844,62.87743092921108,7.5839908,33.48882792374147,29.93548094000003,22.2957699,114.1757915,4,15
