id,lat,lon,heading,filename
1189559662,22.296713,114.1750045,270,1189559662_270.jpg
1151084896,22.3158381,114.1734082,0,1151084896_0.jpg
1151084896,22.3158381,114.1734082,90,1151084896_90.jpg
1151084896,22.3158381,114.1734082,180,1151084896_180.jpg
1151084896,22.3158381,114.1734082,270,1151084896_270.jpg
990625879,22.3009591,114.1865275,0,990625879_0.jpg
990625879,22.3009591,114.1865275,90,990625879_90.jpg
990625879,22.3009591,114.1865275,180,990625879_180.jpg
990625879,22.3009591,114.1865275,270,990625879_270.jpg
332248700,22.3131619,114.1667883,0,332248700_0.jpg
332248700,22.3131619,114.1667883,90,332248700_90.jpg
332248700,22.3131619,114.1667883,180,332248700_180.jpg
332248700,22.3131619,114.1667883,270,332248700_270.jpg
5099453112,22.3084889,114.1712706,0,5099453112_0.jpg
5099453112,22.3084889,114.1712706,90,5099453112_90.jpg
5099453112,22.3084889,114.1712706,180,5099453112_180.jpg
5099453112,22.3084889,114.1712706,270,5099453112_270.jpg
332242753,22.3226105,114.1664288,0,332242753_0.jpg
332242753,22.3226105,114.1664288,90,332242753_90.jpg
332242753,22.3226105,114.1664288,180,332242753_180.jpg
332242753,22.3226105,114.1664288,270,332242753_270.jpg
13591799735,22.3128718,114.1642726,0,13591799735_0.jpg
13591799735,22.3128718,114.1642726,90,13591799735_90.jpg
13591799735,22.3128718,114.1642726,180,13591799735_180.jpg
13591799735,22.3128718,114.1642726,270,13591799735_270.jpg
1649047644,22.2946637,114.1706449,0,1649047644_0.jpg
1649047644,22.2946637,114.1706449,90,1649047644_90.jpg
1649047644,22.2946637,114.1706449,180,1649047644_180.jpg
1649047644,22.2946637,114.1706449,270,1649047644_270.jpg
5436700698,22.3117475,114.163385,0,5436700698_0.jpg
5436700698,22.3117475,114.163385,90,5436700698_90.jpg
5436700698,22.3117475,114.163385,180,5436700698_180.jpg
5436700698,22.3117475,114.163385,270,5436700698_270.jpg
5705662285,22.3090315,114.1652095,0,5705662285_0.jpg
5705662285,22.3090315,114.1652095,90,5705662285_90.jpg
5705662285,22.3090315,114.1652095,180,5705662285_180.jpg
5705662285,22.3090315,114.1652095,270,5705662285_270.jpg
5436750014,22.3067131,114.1651451,0,5436750014_0.jpg
5436750014,22.3067131,114.1651451,90,5436750014_90.jpg
5436750014,22.3067131,114.1651451,180,5436750014_180.jpg
5436750014,22.3067131,114.1651451,270,5436750014_270.jpg
5333519678,22.3054539,114.1603767,0,5333519678_0.jpg
5333519678,22.3054539,114.1603767,90,5333519678_90.jpg
5333519678,22.3054539,114.1603767,180,5333519678_180.jpg
5333519678,22.3054539,114.1603767,270,5333519678_270.jpg
5131739783,22.3074624,114.1613338,0,5131739783_0.jpg
5131739783,22.3074624,114.1613338,90,5131739783_90.jpg
5131739783,22.3074624,114.1613338,180,5131739783_180.jpg
5131739783,22.3074624,114.1613338,270,5131739783_270.jpg
308473189,22.318917,114.1672039,0,308473189_0.jpg
308473189,22.318917,114.1672039,90,308473189_90.jpg
308473189,22.318917,114.1672039,180,308473189_180.jpg
308473189,22.318917,114.1672039,270,308473189_270.jpg
1185400587,22.3084001,114.1713909,0,1185400587_0.jpg
1185400587,22.3084001,114.1713909,90,1185400587_90.jpg
1185400587,22.3084001,114.1713909,180,1185400587_180.jpg
1185400587,22.3084001,114.1713909,270,1185400587_270.jpg
1640472898,22.3225141,114.1606676,0,1640472898_0.jpg
1640472898,22.3225141,114.1606676,90,1640472898_90.jpg
1640472898,22.3225141,114.1606676,180,1640472898_180.jpg
