filename,vegetation,sky,road,building,sidewalk,wall,fence,pole,traffic light,traffic sign,terrain,person,rider,car,truck,bus,train,motorcycle,bicycle,shadow_ratio,sky_brightness,id,lat,lon,heading,LST
710347237_90.jpg,0.19885498046875,0.072109375,0.2767236328125,0.45231201171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6696826171875,103.6353506455399,710347237,22.3019543,114.1766198,90,32.30986550000002
710347239_0.jpg,0.13542236328125,0.22644287109375,0.19896728515625,0.43916748046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63740234375,183.0431191314554,710347239,22.3029954,114.1770238,0,32.26201322000002
710347239_180.jpg,0.0522509765625,0.28872802734375,0.27351318359375,0.3855078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6659912109375,209.2566387910798,710347239,22.3029954,114.1770238,180,32.26201322000002
710347239_270.jpg,0.04351806640625,0.2575439453125,0.21604736328125,0.482890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6226953125,212.22469190140845,710347239,22.3029954,114.1770238,270,32.26201322000002
710347239_90.jpg,0.03423583984375,0.367294921875,0.155478515625,0.4429907226562499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49800048828125,213.27768485915493,710347239,22.3029954,114.1770238,90,32.26201322000002
7202626698_0.jpg,0.00256103515625,0.12531005859375,0.17171630859375,0.70041259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104248046875,140.567216842723,7202626698,22.3193887,114.1698853,0,29.333909420000012
7202626698_180.jpg,0.01917724609375,0.20488525390625,0.05742919921875,0.71850830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359111328125,136.61024061032865,7202626698,22.3193887,114.1698853,180,29.333909420000012
7202626698_270.jpg,0.0213916015625,0.15886474609375,0.223408203125,0.59633544921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4300048828125,137.3081866197183,7202626698,22.3193887,114.1698853,270,29.333909420000012
7202626698_90.jpg,0.00572998046875,0.0986865234375,0.2326318359375,0.66295166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3530078125,145.03683245305163,7202626698,22.3193887,114.1698853,90,29.333909420000012
7207625692_0.jpg,0.04118408203125,0.04276611328125,0.3093115234375,0.60673828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34440185546875,118.60160651408452,7207625692,22.3209996,114.1697806,0,29.807874860000027
7207625692_180.jpg,0.00605712890625,0.06773681640625,0.2109375,0.7152685546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45395263671875,101.02709066901409,7207625692,22.3209996,114.1697806,180,29.807874860000027
7207625692_270.jpg,0.00659423828125,0.13407470703125,0.2534521484375,0.60587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46921630859375,157.0475938967136,7207625692,22.3209996,114.1697806,270,29.807874860000027
7207625692_90.jpg,0.008203125,0.09758544921875,0.25444580078125,0.639765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4840234375,140.43633362676056,7207625692,22.3209996,114.1697806,90,29.807874860000027
7257383491_0.jpg,0.00483642578125,0.0615478515625,0.3181884765625,0.61542724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86408203125,94.0296434859155,7257383491,22.3249273,114.1619498,0,29.4102452
7257383491_180.jpg,0.03736083984375,0.07991455078125,0.42646728515625,0.45625732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7878466796875,133.04946449530516,7257383491,22.3249273,114.1619498,180,29.4102452
7257383491_270.jpg,0.05133056640625,0.15678955078125,0.380654296875,0.4112255859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7487744140625,147.2268192488263,7257383491,22.3249273,114.1619498,270,29.4102452
7257383491_90.jpg,0.01907958984375,0.04419921875,0.30572265625,0.6309985351562499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447041015625,117.7696229460094,7257383491,22.3249273,114.1619498,90,29.4102452
7257383511_0.jpg,0.02177001953125,0.096015625,0.27568115234375,0.6065332031249999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639072265625,143.04029489436618,7257383511,22.3244833,114.1619623,0,29.33960612000004
7257383511_180.jpg,0.00904052734375,0.13732177734375,0.2783349609375,0.575302734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83274169921875,169.83145539906104,7257383511,22.3244833,114.1619623,180,29.33960612000004
